bayesian	('bayesian',)
greater~than~through	('greater~than~through',)
greater~much~than~through	('much~greater~than~through',)
than~the	('than~the', 'the~than')
greater~than~the	('greater~than~the',)
work	('work',)
expected~work	('expected~work',)
expected~the~work	('the~expected~work',)
expected~than~the~work	('than~the~expected~work',)
ie~of	('ie~of',)
expected~ie~of	('expected~ie~of',)
expected~ie~of~the	('the~expected~ie~of',)
hill	('hill',)
hill~one	('one~hill',)
hill~ie~one	('ie~one~hill',)
expected~hill~ie~one	('expected~ie~one~hill',)
was	('was',)
phenomenological~was	('phenomenological~was',)
used	('used',)
law~used	('law~used',)
law~phenomenological~used	('phenomenological~law~used',)
also~by	('also~by', 'by~also')
also~by~law	('law~also~by',)
also~by~law~phenomenological	('phenomenological~law~also~by',)
character	('character',)
character~the	('the~character',)
called~character~the	('called~the~character',)
also~called~character~the	('also~called~the~character',)
charlie	('charlie',)
charlie~first	('first~charlie',)
charlie~first~the	('the~first~charlie',)
called~charlie~first~the	('called~the~first~charlie',)
eppes	('eppes',)
digit~eppes	('digit~eppes',)
digit~eppes~first	('first~digit~eppes',)
digit~eppes~first~the	('the~first~digit~eppes',)
as~law	('law~as',)
as~digit~law	('digit~law~as',)
as~digit~first~law	('first~digit~law~as',)
an~first	('first~an',)
an~first~law	('law~first~an',)
an~digit~first~law	('digit~law~first~an',)
analogy	('analogy',)
analogy~digit	('digit~analogy',)
analogy~digit~first	('first~digit~analogy',)
analogy~digit~first~law	('law~first~digit~analogy',)
phenomenon~to	('phenomenon~to', 'to~phenomenon')
digit~phenomenon~to	('digit~phenomenon~to',)
digit~first~phenomenon~to	('first~digit~phenomenon~to',)
help	('help',)
help~or	('or~help',)
help~or~phenomenon	('phenomenon~or~help',)
digit~help~or~phenomenon	('digit~phenomenon~or~help',)
solve	('solve',)
leading~solve	('leading~solve',)
leading~or~solve	('or~leading~solve',)
leading~or~phenomenon~solve	('phenomenon~or~leading~solve',)
a~digit~leading	('leading~digit~a',)
a~digit~leading~or	('or~leading~digit~a',)
series	('series',)
phenomenon~series	('phenomenon~series',)
digit~phenomenon~series	('digit~phenomenon~series',)
digit~leading~phenomenon~series	('leading~digit~phenomenon~series',)
benford's~of	("benford's~of",)
benford's~of~phenomenon	("phenomenon~benford's~of",)
benford's~digit~of~phenomenon	("digit~phenomenon~benford's~of",)
high	('high',)
high~law	('law~high',)
benford's~high~law	("benford's~law~high",)
benford's~high~law~phenomenon	("phenomenon~benford's~law~high",)
burglaries	('burglaries',)
burglaries~states	('states~burglaries',)
burglaries~law~states	('law~states~burglaries',)
benford's~burglaries~law~states	("benford's~law~states~burglaries",)
in~the	('in~the', 'the~in')
in~that~the	('that~in~the',)
in~states~that~the	('states~that~in~the',)
listings~season	('listings~season',)
listings~season~that	('that~listings~season',)
running	('running',)
a~running	('a~running',)
phenomenological~the	('phenomenological~the',)
law~television	('law~television',)
law~phenomenological~television	('phenomenological~law~television',)
also~crime	('also~crime',)
also~crime~law	('law~also~crime',)
also~crime~law~phenomenological	('phenomenological~law~also~crime',)
called~drama	('called~drama',)
also~called~drama	('also~called~drama',)
also~called~drama~law	('law~also~called~drama',)
applies~phenomenological	('phenomenological~applies',)
law~to	('law~to',)
law~phenomenological~to	('phenomenological~law~to',)
also~data	('also~data',)
also~data~law	('law~also~data',)
also~data~law~phenomenological	('phenomenological~law~also~data',)
called~that	('called~that', 'that~called')
also~called~that	('also~called~that',)
also~called~law~that	('law~also~called~that',)
not	('not',)
dimensionless	('dimensionless',)
so	('so',)
a~so	('a~so', 'so~a')
numerical	('numerical',)
law~numerical	('law~numerical',)
law~numerical~phenomenological	('phenomenological~law~numerical',)
called~of	('called~of', 'of~called')
also~called~of	('also~called~of',)
also~called~law~of	('law~also~called~of',)
data~first	('first~data', 'data~first')
data~first~the	('the~first~data',)
called~data~first~the	('called~the~first~data',)
depend	('depend',)
depend~digit	('digit~depend',)
depend~digit~first	('first~digit~depend',)
depend~digit~first~the	('the~first~digit~depend',)
law~on	('law~on',)
digit~law~on	('digit~law~on',)
digit~first~law~on	('first~digit~law~on',)
first~law~the	('law~first~the',)
digit~first~law~the	('digit~law~first~the', 'law~first~digit~the', 'first~digit~law~the')
if	('if',)
if~phenomenon	('phenomenon~if',)
digit~if~phenomenon	('digit~phenomenon~if',)
digit~first~if~phenomenon	('first~digit~phenomenon~if',)
there	('there',)
or~there	('or~there', 'there~or')
or~phenomenon~there	('phenomenon~or~there',)
digit~or~phenomenon~there	('digit~phenomenon~or~there',)
exists	('exists',)
exists~leading	('leading~exists',)
exists~leading~or	('or~leading~exists',)
exists~leading~or~phenomenon	('phenomenon~or~leading~exists',)
universal	('universal',)
phenomenon~universal	('phenomenon~universal',)
digit~phenomenon~universal	('digit~phenomenon~universal',)
digit~leading~phenomenon~universal	('leading~digit~phenomenon~universal',)
benford's~probability	("benford's~probability",)
benford's~phenomenon~probability	("phenomenon~benford's~probability",)
benford's~digit~phenomenon~probability	("digit~phenomenon~benford's~probability",)
distribution~law	('law~distribution',)
benford's~distribution~law	("benford's~law~distribution",)
benford's~distribution~law~phenomenon	("phenomenon~benford's~law~distribution",)
such	('such',)
a~such	('a~such', 'such~a')
law~then	('law~then',)
law~phenomenological~then	('phenomenological~law~then',)
also~it	('also~it', 'it~also')
also~it~law	('law~also~it',)
also~it~law~phenomenological	('phenomenological~law~also~it',)
must	('must',)
called~must	('called~must',)
also~called~must	('also~called~must',)
also~called~law~must	('law~also~called~must',)
be~the	('the~be', 'be~the')
be~called~the	('called~the~be',)
also~be~called~the	('also~called~the~be',)
invariant	('invariant',)
first~invariant	('first~invariant',)
first~invariant~the	('the~first~invariant',)
called~first~invariant~the	('called~the~first~invariant',)
under	('under',)
digit~under	('digit~under',)
digit~first~under	('first~digit~under',)
digit~first~the~under	('the~first~digit~under',)
a~law	('law~a',)
a~digit~law	('digit~law~a',)
a~digit~first~law	('first~digit~law~a',)
change	('change',)
change~first	('first~change',)
change~first~law	('law~first~change',)
change~digit~first~law	('digit~law~first~change',)
digit~of	('digit~of',)
digit~first~of	('first~digit~of',)
scale	('scale',)
or~so	('or~so',)
or~phenomenon~so	('phenomenon~or~so',)
digit~or~phenomenon~so	('digit~phenomenon~or~so',)
normalization	('normalization',)
implies	('implies',)
implies~phenomenological	('phenomenological~implies',)
differentiating	('differentiating',)
respect	('respect',)
phenomenological~respect	('phenomenological~respect',)
setting	('setting',)
a~setting	('a~setting',)
gives	('gives',)
having	('having',)
solution	('solution',)
a~solution	('a~solution',)
although	('although',)
a~this	('a~this', 'this~a')
is~phenomenological	('phenomenological~is',)
law~not	('law~not',)
law~not~phenomenological	('phenomenological~law~not',)
a~also	('also~a',)
a~also~law	('law~also~a',)
a~also~law~phenomenological	('phenomenological~law~also~a',)
proper	('proper',)
called~proper	('called~proper',)
also~called~proper	('also~called~proper',)
also~called~law~proper	('law~also~called~proper',)
probability~the	('the~probability', 'probability~the')
called~probability~the	('called~the~probability',)
also~called~probability~the	('also~called~the~probability',)
distribution~first	('first~distribution', 'distribution~first')
distribution~first~the	('the~first~distribution', 'the~distribution~first')
called~distribution~first~the	('called~the~first~distribution',)
since	('since',)
digit~since	('digit~since',)
digit~first~since	('first~digit~since',)
digit~first~since~the	('the~first~digit~since',)
it~law	('law~it',)
digit~it~law	('digit~law~it',)
digit~first~it~law	('first~digit~law~it',)
both	('both',)
both~first	('first~both',)
both~first~law	('law~first~both',)
both~digit~first~law	('digit~law~first~both',)
digit~the	('digit~the', 'the~digit')
laws	('laws',)
laws~phenomenon	('phenomenon~laws',)
digit~laws~phenomenon	('digit~phenomenon~laws',)
digit~first~laws~phenomenon	('first~digit~phenomenon~laws',)
of~or	('or~of', 'of~or')
of~or~phenomenon	('phenomenon~or~of',)
digit~of~or~phenomenon	('digit~phenomenon~or~of',)
physics	('physics',)
leading~physics	('leading~physics',)
leading~or~physics	('or~leading~physics',)
leading~or~phenomenon~physics	('phenomenon~or~leading~physics',)
and~digit	('digit~and',)
and~digit~leading	('leading~digit~and',)
and~digit~leading~or	('or~leading~digit~and',)
human	('human',)
human~phenomenon	('phenomenon~human',)
digit~human~phenomenon	('digit~phenomenon~human',)
digit~human~leading~phenomenon	('leading~digit~phenomenon~human',)
convention	('convention',)
benford's~convention	("benford's~convention",)
benford's~convention~phenomenon	("phenomenon~benford's~convention",)
benford's~convention~digit~phenomenon	("digit~phenomenon~benford's~convention",)
impose	('impose',)
impose~law	('law~impose',)
benford's~impose~law	("benford's~law~impose",)
benford's~impose~law~phenomenon	("phenomenon~benford's~law~impose",)
cutoffs	('cutoffs',)
for~that	('that~for', 'for~that')
for~states~that	('states~that~for',)
for~law~states~that	('law~states~that~for',)
example	('example',)
randomly	('randomly',)
listings~randomly	('listings~randomly',)
listings~randomly~that	('that~listings~randomly',)
selected	('selected',)
selected~tables	('tables~selected',)
listings~selected~tables	('listings~tables~selected',)
street	('street',)
of~street	('of~street',)
of~street~tables	('tables~of~street',)
listings~of~street~tables	('listings~tables~of~street',)
addresses	('addresses',)
addresses~statistics	('statistics~addresses',)
addresses~of~statistics	('of~statistics~addresses',)
addresses~of~statistics~tables	('tables~of~statistics~addresses',)
obey	('obey',)
etc~obey	('etc~obey',)
etc~obey~statistics	('statistics~etc~obey',)
etc~obey~of~statistics	('of~statistics~etc~obey',)
something	('something',)
something~the	('the~something',)
etc~something~the	('etc~the~something',)
etc~something~statistics~the	('statistics~etc~the~something',)
close	('close',)
close~digit	('digit~close',)
close~digit~the	('the~digit~close',)
close~digit~etc~the	('etc~the~digit~close',)
tends~to	('tends~to',)
digit~tends~to	('digit~tends~to',)
digit~tends~the~to	('the~digit~tends~to',)
benford's~to	("to~benford's",)
benford's~tends~to	("tends~to~benford's",)
benford's~digit~tends~to	("digit~tends~to~benford's",)
powers	('powers',)
phenomenological~powers	('phenomenological~powers',)
law~of~phenomenological	('phenomenological~law~of',)
lie	('lie',)
also~lie	('also~lie',)
also~law~lie	('law~also~lie',)
also~law~lie~phenomenological	('phenomenological~law~also~lie',)
between	('between',)
between~called	('called~between',)
also~between~called	('also~called~between',)
also~between~called~law	('law~also~called~between',)
digit~then	('digit~then',)
digit~first~then	('first~digit~then',)
digit~law~the	('digit~law~the',)
first~probability	('first~probability',)
first~law~probability	('law~first~probability',)
digit~first~law~probability	('digit~law~first~probability',)
digit~that	('digit~that',)
digit~first~that	('first~digit~that',)
digit~first~law~that	('law~first~digit~that', 'digit~law~first~that')
phenomenon~the	('phenomenon~the',)
digit~phenomenon~the	('digit~phenomenon~the',)
digit~first~phenomenon~the	('first~digit~phenomenon~the',)
first~or	('or~first',)
first~or~phenomenon	('phenomenon~or~first',)
digit~is	('digit~is',)
digit~is~leading	('leading~digit~is',)
digit~is~leading~or	('or~leading~digit~is',)
by~phenomenological	('phenomenological~by',)
a~law~phenomenological	('phenomenological~law~a',)
logarithmic	('logarithmic',)
also~logarithmic	('also~logarithmic', 'logarithmic~also')
also~law~logarithmic	('law~also~logarithmic',)
also~law~logarithmic~phenomenological	('phenomenological~law~also~logarithmic',)
called~distribution	('called~distribution', 'distribution~called')
also~called~distribution	('also~called~distribution', 'distribution~also~called')
also~called~distribution~law	('law~also~called~distribution',)
illustrated	('illustrated',)
above	('above',)
and~phenomenological	('phenomenological~and',)
tabulated	('tabulated',)
law~tabulated	('law~tabulated',)
law~phenomenological~tabulated	('phenomenological~law~tabulated',)
below	('below',)
however	('however',)
a~benford's	("a~benford's", "benford's~a")
applies~law	('law~applies',)
applies~law~phenomenological	('phenomenological~law~applies',)
also~not	('also~not',)
also~law~not	('law~also~not',)
also~law~not~phenomenological	('phenomenological~law~also~not',)
called~only	('called~only',)
also~called~only	('also~called~only',)
also~called~law~only	('law~also~called~only',)
called~the~to	('called~the~to',)
also~called~the~to	('also~called~the~to',)
scale-invariant	('scale-invariant',)
first~scale-invariant	('first~scale-invariant',)
first~scale-invariant~the	('the~first~scale-invariant',)
called~first~scale-invariant~the	('called~the~first~scale-invariant',)
but~law	('law~but',)
but~digit~law	('digit~law~but',)
but~digit~first~law	('first~digit~law~but',)
also~digit~first~law	('digit~law~first~also',)
digit~to	('digit~to',)
digit~first~to	('first~digit~to',)
digit~first~law~to	('law~first~digit~to',)
chosen	('chosen',)
chosen~or	('or~chosen',)
chosen~or~phenomenon	('phenomenon~or~chosen',)
chosen~digit~or~phenomenon	('digit~phenomenon~or~chosen',)
from	('from',)
from~leading	('leading~from',)
from~leading~or	('or~leading~from',)
from~leading~or~phenomenon	('phenomenon~or~leading~from',)
variety	('variety',)
phenomenon~variety	('phenomenon~variety',)
digit~phenomenon~variety	('digit~phenomenon~variety',)
digit~leading~phenomenon~variety	('leading~digit~phenomenon~variety',)
different	('different',)
different~law	('law~different',)
benford's~different~law	("benford's~law~different",)
benford's~different~law~phenomenon	("phenomenon~benford's~law~different",)
